node_id,cluster_id
402,27
709,27
22,27
314,27
464,27
31,4
354,4
892,4
835,4
189,43
843,43
742,43
142,43
363,43
833,43
444,43
866,35
180,35
494,35
546,35
231,35
192,35
263,35
33,35
446,35
491,35
583,35
59,35
600,35
78,35
787,35
827,35
874,35
881,35
346,35
318,35
93,35
405,35
893,35
242,35
820,35
214,35
822,35
632,35
244,35
188,18
194,18
109,18
178,18
234,18
738,18
243,18
433,18
766,18
239,18
26,18
481,18
839,18
347,18
497,18
848,18
364,18
614,18
872,18
408,18
635,18
559,18
472,18
671,18
49,18
903,18
515,18
94,18
790,18
174,18
876,18
466,18
661,18
726,18
510,18
886,18
168,18
701,18
723,18
534,18
453,18
710,18
1,18
773,18
770,18
588,18
47,18
445,18
788,18
105,18
413,31
143,31
356,9
88,9
455,34
469,34
771,34
492,34
328,7
66,7
695,7
447,38
629,38
206,25
471,25
291,25
64,6
852,6
824,6
111,45
853,45
114,11
387,11
146,8
75,8
157,13
475,13
158,14
419,14
159,26
301,26
163,16
798,16
2,0
792,0
227,5
54,5
548,41
669,41
424,32
608,32
369,30
592,30
319,28
384,28
298,40
664,40
484,36
618,36
278,23
642,23
256,22
677,22
245,29
329,29
283,24
784,24
102,10
116,10
16,2
601,2
140,12
176,12
15,1
584,1
152,39
638,39
170,17
753,17
19,3
593,3
237,21
489,21
438,33
688,33
557,46
883,46
812,42
865,42
65,44
849,44
555,47
73,47
294,47
386,47
241,47
8,47
845,47
284,47
605,47
249,47
292,47
789,47
80,47
463,47
873,47
300,47
630,47
586,47
716,47
165,47
169,48
844,48
575,48
46,48
392,48
687,48
477,48
90,48
678,48
544,48
737,48
141,48
535,48
324,48
276,48
385,48
51,48
681,48
551,48
508,48
715,48
856,48
375,48
801,48
880,48
383,49
155,49
252,49
649,49
235,49
270,49
714,49
74,49
619,49
135,49
187,49
310,49
889,49
82,49
211,49
486,49
493,49
84,49
752,49
97,50
731,50
101,50
95,50
727,50
108,50
123,50
271,50
566,50
175,50
203,50
248,50
803,50
312,50
313,50
327,50
351,50
372,50
769,50
423,50
440,50
334,50
533,50
587,50
691,50
718,50
36,50
520,50
177,50
748,50
251,50
754,50
12,50
279,50
17,50
804,50
590,50
800,50
331,50
138,50
779,50
791,50
323,50
431,50
148,51
734,51
430,51
219,51
578,51
136,51
514,51
162,51
182,51
606,51
712,51
341,51
900,51
362,51
895,51
259,51
288,51
337,51
360,51
425,51
582,51
706,51
498,51
563,51
150,51
653,51
819,51
841,51
860,51
367,52
77,52
745,52
761,52
21,52
458,52
762,52
348,52
273,52
733,52
223,52
735,52
100,52
207,52
755,52
658,52
654,52
506,52
674,52
764,52
713,52
98,52
435,53
743,53
859,53
746,53
0,54
863,54
190,55
41,55
452,56
696,56
882,56
260,56
230,56
786,56
692,56
810,56
767,56
663,56
368,56
398,56
209,56
255,56
474,56
807,56
56,56
414,56
680,56
275,56
717,56
725,56
799,56
204,56
55,56
541,56
333,56
730,56
315,56
509,56
870,56
757,56
613,56
217,56
48,56
5,56
185,56
437,56
441,56
60,56
296,56
420,56
604,56
823,56
624,56
617,56
864,56
897,56
222,56
720,56
345,56
179,56
421,56
553,56
564,56
350,56
834,56
802,56
636,56
631,56
794,56
198,56
264,56
675,56
837,56
254,56
507,56
662,56
598,56
137,56
229,56
698,56
37,56
374,56
878,56
120,56
705,56
648,56
526,56
454,56
282,56
389,56
539,56
272,56
269,56
465,56
809,56
672,56
756,56
719,56
399,56
113,56
25,56
286,56
240,57
202,57
581,57
225,57
830,57
267,57
416,57
894,57
485,57
774,57
6,57
488,57
39,57
183,57
129,57
487,57
537,57
317,57
86,57
527,57
457,57
891,57
61,57
151,57
117,57
496,57
58,57
646,57
173,57
805,57
519,57
467,57
311,57
218,57
570,57
782,57
594,57
576,57
542,57
304,57
554,57
181,57
340,57
32,57
478,57
403,57
813,57
220,57
197,58
99,58
775,58
501,58
815,58
550,58
261,58
160,58
195,58
376,58
597,58
728,58
442,58
625,58
325,58
877,58
407,58
461,58
62,58
13,58
303,58
76,58
103,58
366,58
522,58
29,58
145,58
763,58
628,58
777,58
125,58
322,58
24,58
167,58
768,58
81,58
210,58
816,58
124,58
611,58
308,58
690,58
884,58
200,58
3,58
361,58
495,58
707,58
862,58
741,58
567,58
9,58
321,58
394,58
591,58
212,58
4,58
540,58
79,59
335,59
561,59
711,59
131,59
904,59
134,59
396,59
667,59
224,59
400,59
708,59
568,59
851,59
161,59
829,59
443,59
751,59
332,59
297,59
596,59
887,59
621,59
528,59
739,59
765,59
651,59
417,59
228,59
685,59
868,59
647,59
626,59
480,59
302,59
749,59
320,59
750,59
579,59
652,59
201,60
371,60
871,61
289,61
250,61
538,61
221,62
633,62
697,62
391,62
656,62
14,62
640,62
196,62
890,62
875,62
838,62
52,62
855,62
511,62
20,62
825,62
253,62
379,62
896,62
840,62
89,62
10,62
115,62
153,62
307,62
128,62
382,62
659,62
729,62
43,62
35,62
513,62
869,62
560,62
172,62
439,62
34,62
215,62
365,62
818,62
28,62
641,62
191,62
112,62
760,62
772,62
274,63
381,63
562,63
836,63
7,63
281,63
694,63
193,63
781,63
490,63
388,63
821,63
558,63
285,63
107,63
673,63
530,63
885,63
603,63
349,63
68,63
339,63
164,63
637,63
428,63
305,63
700,63
415,63
693,63
336,63
704,63
888,63
861,63
401,63
785,63
42,63
133,63
549,63
479,63
50,63
436,63
27,63
434,63
246,63
858,63
432,63
166,63
83,63
96,63
57,63
295,63
309,63
573,63
639,63
585,63
627,63
571,63
505,63
580,63
456,63
521,63
280,63
293,63
901,63
609,63
306,63
572,63
826,63
70,63
747,63
552,63
565,63
523,63
817,64
106,64
532,64
85,64
683,64
724,64
806,64
686,64
184,64
483,64
905,64
666,65
130,65
429,65
623,65
358,65
867,65
154,65
616,66
149,66
793,66
682,67
67,67
780,67
410,67
126,67
796,67
524,67
899,67
38,67
702,67
268,67
721,67
316,67
378,67
397,67
832,67
277,67
536,67
18,67
670,67
156,67
517,68
482,68
610,68
216,68
132,68
634,68
377,68
122,68
607,68
665,68
545,68
850,68
40,68
644,68
699,68
139,68
879,68
71,68
615,68
127,68
547,68
449,68
842,69
23,69
797,69
390,69
450,69
404,69
226,69
814,69
238,69
171,69
525,69
589,69
63,69
355,69
265,70
205,70
247,70
857,70
722,70
104,70
828,70
11,70
612,70
144,70
147,70
344,70
213,70
353,70
395,70
53,70
426,70
290,70
459,70
462,70
518,70
418,70
556,70
620,70
643,70
660,70
703,70
736,70
758,70
759,70
258,70
357,70
91,70
732,70
543,70
287,70
370,70
406,70
411,70
689,70
262,70
854,70
232,70
529,70
330,70
574,70
847,70
87,70
92,70
476,71
257,71
448,71
531,71
121,71
622,71
118,71
451,71
502,71
409,71
512,71
516,71
783,71
778,71
359,71
110,71
427,71
655,71
69,71
811,71
808,71
500,71
569,71
795,71
119,72
577,72
602,72
342,72
343,72
266,72
744,72
740,72
186,72
676,72
72,72
412,72
422,72
902,72
299,72
595,72
373,72
499,72
380,72
208,72
599,72
44,72
45,72
776,72
460,72
831,72
352,72
679,72
898,72
326,73
393,73
684,73
233,73
645,73
470,73
846,73
657,73
668,73
199,73
504,73
473,73
468,74
650,74
236,75
338,75
