tier	fixture	n	m	k_floor	status	records	elapsed_s	summary
T1	copenhagen_fb_friends	800	6418	2	PASS	24	2.16	PASS copenhagen_fb_friends k=2 iters=9 components=13 records=24
T1	copenhagen_fb_friends	800	6418	3	PASS	19	2.1	PASS copenhagen_fb_friends k=3 iters=8 components=9 records=19
T1	copenhagen_fb_friends	800	6418	5	PASS	13	2.12	PASS copenhagen_fb_friends k=5 iters=6 components=5 records=13
T1	product_space_HS	866	2532	2	PASS	31	2.15	PASS product_space_HS k=2 iters=8 components=21 records=31
T1	product_space_HS	866	2532	3	PASS	20	2.09	PASS product_space_HS k=3 iters=7 components=11 records=20
T1	product_space_HS	866	2532	5	PASS	12	2.09	PASS product_space_HS k=5 iters=5 components=5 records=12
T1	dnc	906	10429	2	PASS	41	2.18	PASS dnc k=2 iters=12 components=27 records=41
T1	dnc	906	10429	3	PASS	32	2.12	PASS dnc k=3 iters=11 components=19 records=32
T1	dnc	906	10429	5	PASS	20	2.0	PASS dnc k=5 iters=9 components=9 records=20
T1	euroroad	1174	1417	2	PASS	7	1.94	PASS euroroad k=2 iters=2 components=3 records=7
T1	euroroad	1174	1417	3	PASS	3	1.98	PASS euroroad k=3 iters=1 components=0 records=3
T1	euroroad	1174	1417	5	PASS	3	1.94	PASS euroroad k=5 iters=1 components=0 records=3
T1	facebook_organizations_M1	1429	19357	2	PASS	41	2.15	PASS facebook_organizations_M1 k=2 iters=13 components=26 records=41
T1	facebook_organizations_M1	1429	19357	3	PASS	35	2.05	PASS facebook_organizations_M1 k=3 iters=12 components=21 records=35
T1	facebook_organizations_M1	1429	19357	5	PASS	23	2.08	PASS facebook_organizations_M1 k=5 iters=10 components=11 records=23
T1	netscience	1461	2742	2	PASS	219	2.0	PASS netscience k=2 iters=10 components=207 records=219
T1	netscience	1461	2742	3	PASS	115	1.95	PASS netscience k=3 iters=9 components=104 records=115
T1	netscience	1461	2742	5	PASS	35	1.91	PASS netscience k=5 iters=7 components=26 records=35
T1	new_zealand_collab	1511	4273	2	PASS	51	2.01	PASS new_zealand_collab k=2 iters=7 components=42 records=51
T1	new_zealand_collab	1511	4273	3	PASS	28	2.01	PASS new_zealand_collab k=3 iters=6 components=20 records=28
T1	new_zealand_collab	1511	4273	5	PASS	9	1.94	PASS new_zealand_collab k=5 iters=4 components=3 records=9
T1	collins_yeast	1622	9070	2	PASS	139	1.99	PASS collins_yeast k=2 iters=18 components=119 records=139
T1	collins_yeast	1622	9070	3	PASS	95	2.12	PASS collins_yeast k=3 iters=17 components=76 records=95
T1	collins_yeast	1622	9070	5	PASS	58	2.06	PASS collins_yeast k=5 iters=15 components=41 records=58
T1	bible_nouns	1773	9131	2	PASS	146	2.01	PASS bible_nouns k=2 iters=11 components=133 records=146
T1	bible_nouns	1773	9131	3	PASS	61	1.98	PASS bible_nouns k=3 iters=10 components=49 records=61
T1	bible_nouns	1773	9131	5	PASS	29	1.97	PASS bible_nouns k=5 iters=8 components=19 records=29
T1	interactome_yeast	1846	2203	2	PASS	25	2.01	PASS interactome_yeast k=2 iters=5 components=18 records=25
